Source,ID,Author,Title,Description
ABC News (AU),The Burial,Samantha Dick and Oliver Chaseling,"Santos ordered to pause construction on $5.6b Barossa project, hours before works due to start",An emergency injunction granted to a Tiwi Islands traditional owner by the Federal Court has halted construction of the project's underwater gas export pipeline for several weeks.
Freerepublic.com,The Exorcist,Pilgrim Priest,[Catholic Caucus] Nuchurch’s “Counter-Syllabus” of Errors,"[Catholic Caucus] Nuchurch’s “Counter-Syllabus” of ErrorsWith providential foresight, Pope Pius IX (top left) saw in the 19th century the heresies that would come upon the Church in the 20th century. So, in 1864, he wrote the Syllabus of Errors. Over one hund…"
Biztoc.com,The Eras Tour,deadline.com,Taylor Swift Adds 2024 Vancouver Dates To Eras Tour,"Vancouver Swifties will have an extra something to celebrate next holiday season: Taylor Swift has added three dates in the city to the 2024 leg of her Eras Tour. The new dates are Dec. 6, 7 and 8, 2024, at B.C. Place in Vancouver, British Columbia. Gracie Ab…"
Researchbuzz.me,Killers of the Flower Moon,ResearchBuzz,"Belgium Business, Generative AI Prompt Literacy Course, New Jersey Warehouses, More: Friday ResearchBuzz, November 3, 2023","NEW RESOURCES Government of Belgium, and translated from Dutch: Launch of JustBan: search for rogue entrepreneurs via Just-on-web. “Want to check in just a few mouse clicks whether an entrepreneur is reliable? […]"
Screen Rant,The Exorcist,Abdullah Al-Ghamdi,Poltergeist TV Show In The Works (With Connection To Spielberg Film),"Poltergeist is on the way back, with a television show that’s connected to the seminal horror movie that was co-written by Steven Spielberg."
ProPublica,The Burial,by Mary Hudetz,"UC Berkeley Takes Significant Step to Repatriate 4,400 Native American Human Remains","by Mary Hudetz 
 

 
 
 ProPublica is a nonprofit newsroom that investigates abuses of power. Sign up for Dispatches, a newsletter that spotlights wrongdoing around the country, to receive our stories in your inbox every week.

 

 

 
 



 
The University o…"
VOA News,Five Nights at Freddy,webdesk@voanews.com (Associated Press),Video Game Adaptation 'Five Nights at Freddy's' Notches $130 Million Global Debut,"It hardly mattered that ""Five Nights at Freddy's"" was released simultaneously in theaters and on streaming this weekend. Fans flocked to movie theaters across the country to see the scary video game adaptation on the big screen, which made $78 million to top …"
STLtoday.com,The Burial,By Tony Messenger St. Louis Post-Dispatch,Messenger: A rabbi’s growing fear that Cori Bush is contributing to antisemitism,Jewish leaders in St. Louis ask congresswoman to cut back on the vitriol toward Israel.
WBUR,The Exorcist,WBUR,'The Exorcist' has possessed the horror genre for 50 years,"The 1973 horror movie classic “The Exorcist” turns 50 years old this year.
Host Scott Tong discusses its enduring impact with author Nat Segaloff.
This article was originally published on WBUR.org. Copyright 2023 NPR. To see more, visit https://www.npr.org."
Fortune,Five Nights at Freddy,"Lindsey Bahr, The Associated Press",Video game adaptation 'Five Nights at Freddy's' tops weekend box office even with simultaneous streaming release,The Blumhouse production adapts the game in which a security guard has to fend off murderous animatronic characters at a family pizza restaurant.
Foreign Policy,The Burial,Amy Mackinnon,What Happens to Gaza After the War?,A set of grim scenarios emerge for the enclave’s Palestinian residents.
Lithub.com,The Exorcist,Lit Hub Daily,"Lit Hub Daily: November 3, 2023","“We strongly believe that now is a time to speak, freely and without fear of reprisal.” An open letter to the 92nd Street Y from 33 writers, in response to the cancellation of Viet Thanh Nguyen’s recent event. | Lit Hub “She was a woman writing science fictio…"
GamesRadar+,The Exorcist,George Marston,"The Devil That Wears My Face is like The Exorcist meets Face/Off, and it's actually terrifying",The Devil That Wears My Face writer David Pepose speaks with Newsarama about how he and artist Alex Cormack are taking a new angle on the exorcism genre
Digital Trends,The Exorcist,Anthony Orlando,"10 best horror movies of the 1970s, ranked","The 1970s was a time of great innovation for horror films, and cinephiles should revisit these 10 exemplary scary movies to celebrate Halloween."
Pockettactics.com,Five Nights at Freddy,Kayleigh Partleton,FNAF Pizza Party codes October 2023,"FNAF Pizza Party codes are crucial if you want to survive five nights at Freddy’s. Yes, as the name implies, this game takes influence from Freddy and co, challenging you to live through five nights in the rundown Pizzaplex. Naturally, you can expect to solve…"
JoBlo.com,The Exorcist,Cody Hamman,Where is Salem’s Lot 2023?,"Over a year has gone by since Warner Bros. removed Salem's Lot from their release schedule. Why has the film been shelved?
The post Where is Salem’s Lot 2023? appeared first on JoBlo."
Forbes,Killers of the Flower Moon,"Grace Banks, Contributor, 
 Grace Banks, Contributor
 https://www.forbes.com/sites/gracebanks/","Robert De Niro On Trump, Marrakech Film Festival And Art “Creativity Comes From The Bottom Up”","The actor on Trump, Moroccan film and setting his entrepreneurial sites on Marrakech"
Fox News,The Eras Tour,Caroline Thayer,Travis Kelce plays into joke that Taylor Swift 'put me on the map',"Travis Kelce is getting in on the joke that Taylor Swift put him ""on the map."" The narrative even inspired a couple's Halloween costume, which Kelce ""enjoyed."""
Page Six,The Eras Tour,Ian Mohr,"Travis Kelce’s mom, Donna, gets warm welcome from fans while flying coach to Chiefs game in Germany",Page Six spies were surprised to see the NFL superstar's mom making her way back to the economy seats on the commercial flight.
MarketWatch,Killers of the Flower Moon,Mike Murphy,"What's Worth Streaming: There’s a ton worth streaming in November 2023. So as prices rise, here’s how to avoid breaking the bank.","With 'For All Mankind,' 'The Crown,' 'Fargo,' 'Bass Reeves' and much more on the way, it may be time to make ad-supported tiers your default."
Screen Rant,The Exorcist,Zakaria Ali,Blue Exorcist's Return Date Confirmed Alongside Epic New Opening,The release date for Blue Exorcist season 3 has just been confirmed in a promotional video that features the opening song.
Dark Horizons,Killers of the Flower Moon,Garth Franklin,Scorsese On Fraser’s Divisive “Killers” Role,Filmmaker Martin Scorsese has praised actor Brendan Fraser’s performance in Scorsese’s period epic “Killers of the Flower Moon” as being ‘perfect’ for how he wanted the role portrayed. Oscar-winner Fraser is one of countless character actors in smaller roles …
Variety,Killers of the Flower Moon,Caroline Brew,"Billie Eilish, Olivia Rodrigo Nominated for 2023 Hollywood Music in Media Awards",Billie Eilish and Finneas along with Lenny Kravitz and Diane Warren are among the nominees at the Hollywood Music in Media Awards. Eilish and Finneas landed a nomination for “What Was I Made For?” from “Barbie. The song is one of three from the movie vying fo…
Screen Rant,Five Nights at Freddy,Megan Hemenway,Five Night At Freddy's Circus Baby Easter Egg Sets Up The Perfect Spinoff Movie,"Five Nights At Freddy’s offers up some great easter eggs from the video game franchise, and one particular reference sets up a potential spinoff."
Kotaku,Foe,Kenneth Shepard,"Baldur’s Gate 3’s Latest Big Patch Brings Over 1,000 More Tweaks And Fixes","Larian has dropped another colossal patch for its hugely successful Dungeons & Dragons role-playing game, Baldur’s Gate 3, and it brings over 1000 individual fixes and tweaks to the game just as we head into its three-month anniversary.Read more..."
Newsweek,The Burial,Aristos Georgiou,"War in Europe Began Way Before We Thought, Ancient Discovery Reveals","Researchers analyzed more than 300 sets of human remains from a mass burial site dating back to around 5,000 years, finding an earlier origin for war in Europe."
The Times of India,The Eras Tour,The Feed,Why Taylor Swift Fans in Argentina Have Camped Out in Tents for Five Months,"This fall, Taylor Swift's Eras Tour—which became a huge hit in the United States throughout the spring and summer—became the highest-earning concert film ever, grossing over $200 million globally. The tour will now resume on November 9, 10, and 11 with live p…"
New Zealand Herald,The Exorcist,India McTaggart,"Horror films may actually be ‘beneficial’ for your health, experts say",Being scared to death while watching horror films might just be good for you.
/FILM,The Burial,staff@slashfilm.com (Jeremy Mathai),The Royal Hotel Is The Best Movie You Didn't Get Around To Watching Last Month,"The Royal Hotel, The Caine Mutiny Court-Martial, and The Burial represent the kind of solid, meat-and-potatoes filmmaking that&amp;#39;s fallen by the wayside."
Bleeding Cool News,Foe,Rich Johnston,Things To Do In London In November 2023 If You Like Comics,"The new edition of Things To Do In London If You Like Comics for November 2023. And that includes towards the end of the month, the London Film And Comic Con's Winter event – held at the same time as Thought Bubble in Harrogate… Thursday, 2nd of November Troo…"
Entertainment Weekly,Killers of the Flower Moon,Devan Coggan,Martin Scorsese defends Brendan Fraser in 'Killers of the Flower Moon',"Martin Scorsese is defending 'Killers of the Flower Moon' actor Brendan Fraser, calling his performance 'perfect.'"
Human Rights Watch,The Burial,Human Rights Watch,Investigate Death of 17-Year-Old Girl in Iran,"A photo of Armita Geravand,  a 16-year-old Iranian student who died after falling into a coma following an encounter with authorities in Iran,  is displayed in front of the Lincoln Memorial in Washington, DC, October 28, 2023.
 © 2023 Ali Khaligh/Middle East …"
GamesRadar+,The Exorcist,lauren.milici@futurenet.com (Lauren Milici),Never before seen footage of The Exorcist hits the internet,Nearly 40 minutes of outtakes and deleted scenes have been uploaded to Youtube
CounterPunch,Foe,Victor Grossman,Gaza and the World,"Every day I must review my conclusions and judgments. regarding the Gaza events. The killings and kidnappings of October 7, were bloody crimes that should never be applauded or condoned. All demands that the kidnap victims be returned safely are fully legitim…"
Grist,Killers of the Flower Moon,"Naveena Sadasivam, Lylla Younes, Allison Herrera",Abandoned in Osage,Years of mismanagement and declining oil production have left Osage Nation with a higher concentration of abandoned wells than anywhere else in the country.
New Scientist,The Burial,Soumya Sagar,Skull shows man survived surgery to ease brain pressure 2700 years ago,"A skull found in China shows signs of healing after part of it was removed 2700 years ago, suggesting that a man survived at least eight weeks after surgery to relieve pressure in his head"
Variety,Killers of the Flower Moon,Zack Sharf,"Martin Scorsese Says Brendan Fraser Is ‘Perfect’ in ‘Flower Moon,’ While Many Viewers Call Him Too Over-the-Top: ‘He’s a Wonderful Actor’","Martin Scorsese recently said at a press conference (via LADbible) that Brendan Fraser is “perfect” in “Killers of the Flower Moon.” The actor, who won the Oscar this year for his performance in “The Whale,” has been panned by many fans since “Flower Moon” op…"
ABC News (AU),The Eras Tour,Simon Smale,From the best in the world to walking calamity: Where England's Cricket World Cup defence went wrong,"England's Cricket World Cup defence started poorly — and the data shows that it got worse. On Saturday, Australia has the chance to put the final nail in the coffin and end England's most successful white ball era in ignominy."
USA Today,Foe,Mike Bohn,Derrick Lewis makes light of reckless driving arrest charges before UFC Fight Night 231 headliner,Derrick Lewis brushed off questions about his recent arrest for reckless driving ahead of Saturday's UFC Fight Night 231 headliner.
The Times of India,Killers of the Flower Moon,AP,'Shame on you!': Robert De Niro lashes out at ex-employee in court,The actor's former assistant has accused him of being abusive and filed a $12 million lawsuit.
Smithsonian.com,Killers of the Flower Moon,Chris Klimek,Healing the Wounds of the Vietnam War,"Two perspectives on the 20th-century conflict look back, five decades after the fighting stopped, to discuss what was lost and what is remembered today"
Bloody Disgusting,The Exorcist,John Squires,‘Winnie the Pooh: Blood and Honey 2’ – Preview the Sequel’s Bigger Budget Winnie the Pooh Redesign,"Winnie the Pooh will be sporting a brand new look in the upcoming slasher sequel Winnie the Pooh: Blood and Honey 2, which promises to be bigger and bloodier. The Hollywood Reporter shares the latest sneak peek at Blood and Honey 2 this morning, giving us our…"
